base_ber,base_correct_fraction,complete_recovery,condition_count,cover_stego_psnr,cover_stego_ssim,detail_ber,detail_correct_fraction,method,observation_count,operational_failure_count,pair_id,payload_correct_fraction,peak_memory_bytes,raw_ber,raw_secret_correct_fraction,reconstruction_ncc,reconstruction_psnr,reconstruction_ssim,runtime_seconds,unknown_bit_fraction,valid_base_only_recovery
0.0,0.1,0.1,10,45.000049289886874,0.9830921012439919,0.0,0.1,C2,22,0,coco-000000098392-000000343706,0.1,154716160.00000003,0.3073919170114529,1.0,0.9999999999999999,,1.0,2.6955260044002594,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9833859854869619,0.0,0.1,C3,22,0,coco-000000098392-000000343706,0.1,154821017.6,0.3058157942075913,1.0,0.9999999999999999,,1.0,1.7912952672331808,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9833825121354064,0.0,0.1,C3_NP,22,0,coco-000000098392-000000343706,0.1,154595191.46666667,0.30631768303651735,1.0,0.9999999999999999,,1.0,2.0455288770002276,0.9,0.1
,,0.1,10,45.886959902405984,0.9960932922504139,,,B1,22,0,coco-000000119445-000000358195,0.6999643961588543,153490500.26666668,0.3000356038411459,0.6999643961588543,0.8695004720713303,13.563316609012313,0.2906932228154588,0.010613453800093944,0.0,
,,0.0,10,,,,,B2,22,0,coco-000000119445-000000358195,,153116262.39999998,,,,,,,,
0.0,0.1,0.1,10,45.00001706233342,0.9928784685231168,0.0,0.1,C0,22,0,coco-000000119445-000000358195,0.1,152693418.6666667,0.3065680278227499,1.0,1.0000000000000002,,1.0,2.289183794166577,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9929808996483972,0.0,0.1,C1,22,0,coco-000000119445-000000358195,0.1,152731101.86666667,0.3057664747856329,1.0,1.0000000000000002,,1.0,1.833160416600185,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.9928858488448885,0.0,0.1,C2,22,0,coco-000000119445-000000358195,0.1,152679765.3333333,0.30666141991964985,1.0,1.0000000000000002,,1.0,1.834359499933574,0.9,0.1
0.0,0.1,0.1,10,45.00002511919936,0.9929715558753974,0.0,0.1,C3,22,0,coco-000000119445-000000358195,0.1,152454758.4,0.30587650656592913,1.0,1.0000000000000002,,1.0,2.735875797566344,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9929765315215061,0.0,0.1,C3_NP,22,0,coco-000000119445-000000358195,0.1,152407517.86666667,0.30571325778017633,1.0,1.0000000000000002,,1.0,2.0843511301334727,0.9,0.1
,,0.1,10,45.9190973150141,0.9831883755691125,,,B1,22,0,coco-000000120584-000000194746,0.7060254414876301,155746030.93333334,0.29397455851236975,0.7060254414876301,0.8339504648303204,12.787757203550985,0.29354261910989055,0.007064743366330124,0.0,
,,0.1,10,44.810517234509504,0.9810898374293752,,,B2,22,0,coco-000000120584-000000194746,0.6190205891927084,155913830.40000004,0.3809794108072917,0.6190205891927084,0.7238568382886799,9.653726982023722,0.14869194982595393,0.013895344200075974,0.0,
0.0,0.1,0.1,10,45.00000094864638,0.9814471627852246,0.0,0.1,C0,22,0,coco-000000120584-000000194746,0.1,156299127.46666667,0.30969673802242614,1.0,1.0,,1.0,1.9600141711000105,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9816142045759474,0.0,0.1,C1,22,0,coco-000000120584-000000194746,0.1,156181162.6666667,0.3085887749595251,1.0,1.0,,1.0,2.5878104699667643,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9814381102504657,0.0,0.1,C2,22,0,coco-000000120584-000000194746,0.1,156314419.2,0.3099382382922588,1.0,1.0,,1.0,2.52874384859994,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9816385860685571,0.0,0.1,C3,22,0,coco-000000120584-000000194746,0.1,156553762.13333336,0.30827996642081906,1.0,1.0,,1.0,2.065683532933387,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9816201076821776,0.0,0.1,C3_NP,22,0,coco-000000120584-000000194746,0.1,156252023.46666664,0.3085453019128141,1.0,1.0,,1.0,2.1182881744334736,0.9,0.1
,,0.1,10,45.67430697879523,0.9833399844555346,,,B1,22,0,coco-000000129054-000000226111,0.7024459838867188,153319287.46666667,0.29755401611328125,0.7024459838867188,0.8484649746389771,12.848219080755806,0.33992697995293847,0.020956977366586214,0.0,
,,0.1,10,44.84404301203996,0.9852248834935267,,,B2,22,0,coco-000000129054-000000226111,0.602245330810547,153123362.13333333,0.3977546691894532,0.602245330810547,0.7638182443414279,8.678990708583921,0.17370217038495828,0.012103773133518795,0.0,
0.0,0.1,0.1,10,45.00003317608025,0.9851713013915427,0.0,0.1,C0,22,0,coco-000000129054-000000226111,0.1,153240234.6666667,0.31157537326857343,1.0,1.0000000000000002,,1.0,1.7988268486333254,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.9852421969050555,0.0,0.1,C1,22,0,coco-000000129054-000000226111,0.1,153199001.6,0.3102722312166457,1.0,1.0000000000000002,,1.0,1.858119649633651,0.9,0.1
0.0,0.1,0.1,10,45.00001706233342,0.9851860206428201,0.0,0.1,C2,22,0,coco-000000129054-000000226111,0.1,152977954.13333333,0.31124662709120343,1.0,1.0000000000000002,,1.0,2.3468405224333155,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9852613194245781,0.0,0.1,C3,22,0,coco-000000129054-000000226111,0.1,152738884.26666665,0.3099932541824069,1.0,1.0000000000000002,,1.0,2.0596649799667524,0.9,0.1
